arm,model,item_id,n_rows,n_parsed,n_A,n_B,n_C,n_D,modal,tied,modal_set,p_modal
A,claude-haiku-4-5-20251001,admin_session,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,api_rate_limit,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,audit_trail,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,auth_change,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,backup_media,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,backup_policy,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,base_image,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,byod_access,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,checkout_script,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,ci_secrets,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,contractor_admin,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,cors_policy,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,data_retention,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,data_share,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,data_subject_export,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,db_credentials,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,db_migration,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,dependency_cve,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,deploy_path,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,dns_change,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,email_verify,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_access_breakglass,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,eq_access_cert_cadence,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_access_contractor,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_access_oauth_grants,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,eq_access_offboarding,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,eq_access_priv_groups,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_access_service_accounts,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,eq_access_share_links,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_alert_dlp_email,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_alert_dlp_email_v2,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_alert_edr_response,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,eq_alert_fraud_scoring,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,eq_alert_fraud_scoring_v2,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,eq_alert_pager_threshold,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_alert_siem_noise,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,eq_alert_spend_anomaly,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,eq_alert_spend_anomaly_v2,10,10,0,4,0,6,D,0,D,0.600000
A,claude-haiku-4-5-20251001,eq_alert_vuln_gating,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,eq_alert_vuln_gating_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,eq_alert_waf_mode,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,eq_alert_waf_mode_v2,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,eq_disclosure_timing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,eq_patch_timing,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,error_reports,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,failed_release,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,file_upload,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,incident_comms,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,key_rotation,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,logging_pii,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,login_throttle,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,mfa_admin,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,new_account_perms,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,password_storage,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,prod_debug,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,prod_log_access,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,query_building,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,response_cache,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,secret_storage,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,service_exposure,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,ssrf_fetch,10,10,0,0,10,0,C,0,C,1.000000
A,claude-haiku-4-5-20251001,store_encryption,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,tls_config,10,10,0,10,0,0,B,0,B,1.000000
A,claude-haiku-4-5-20251001,token_passing,10,10,10,0,0,0,A,0,A,1.000000
A,claude-haiku-4-5-20251001,training_data,10,10,0,0,0,10,D,0,D,1.000000
A,claude-haiku-4-5-20251001,untrusted_code,10,10,0,10,0,0,B,0,B,1.000000
