arm,model_a,model_b,lab_a,lab_b,within_lab,agreement
A,claude-haiku-4-5-20251001,claude-sonnet-4-6,anthropic,anthropic,1,0.970588
A,claude-haiku-4-5-20251001,claude-opus-4-8,anthropic,anthropic,1,0.897059
A,claude-haiku-4-5-20251001,gpt-5.6-terra,anthropic,openai,0,0.838235
A,claude-haiku-4-5-20251001,gpt-5.6-sol,anthropic,openai,0,0.911765
A,claude-haiku-4-5-20251001,deepseek-v4-flash,anthropic,deepseek,0,0.852941
A,claude-haiku-4-5-20251001,deepseek-v4-pro,anthropic,deepseek,0,0.852941
A,claude-haiku-4-5-20251001,glm-5.2,anthropic,zai,0,0.897059
A,claude-sonnet-4-6,claude-opus-4-8,anthropic,anthropic,1,0.897059
A,claude-sonnet-4-6,gpt-5.6-terra,anthropic,openai,0,0.838235
A,claude-sonnet-4-6,gpt-5.6-sol,anthropic,openai,0,0.911765
A,claude-sonnet-4-6,deepseek-v4-flash,anthropic,deepseek,0,0.852941
A,claude-sonnet-4-6,deepseek-v4-pro,anthropic,deepseek,0,0.838235
A,claude-sonnet-4-6,glm-5.2,anthropic,zai,0,0.897059
A,claude-opus-4-8,gpt-5.6-terra,anthropic,openai,0,0.882353
A,claude-opus-4-8,gpt-5.6-sol,anthropic,openai,0,0.926471
A,claude-opus-4-8,deepseek-v4-flash,anthropic,deepseek,0,0.808824
A,claude-opus-4-8,deepseek-v4-pro,anthropic,deepseek,0,0.852941
A,claude-opus-4-8,glm-5.2,anthropic,zai,0,0.897059
A,gpt-5.6-terra,gpt-5.6-sol,openai,openai,1,0.911765
A,gpt-5.6-terra,deepseek-v4-flash,openai,deepseek,0,0.779412
A,gpt-5.6-terra,deepseek-v4-pro,openai,deepseek,0,0.838235
A,gpt-5.6-terra,glm-5.2,openai,zai,0,0.882353
A,gpt-5.6-sol,deepseek-v4-flash,openai,deepseek,0,0.808824
A,gpt-5.6-sol,deepseek-v4-pro,openai,deepseek,0,0.867647
A,gpt-5.6-sol,glm-5.2,openai,zai,0,0.882353
A,deepseek-v4-flash,deepseek-v4-pro,deepseek,deepseek,1,0.838235
A,deepseek-v4-flash,glm-5.2,deepseek,zai,0,0.823529
A,deepseek-v4-pro,glm-5.2,deepseek,zai,0,0.823529
B,claude-haiku-4-5-20251001,claude-sonnet-4-6,anthropic,anthropic,1,0.941176
B,claude-haiku-4-5-20251001,claude-opus-4-8,anthropic,anthropic,1,0.926471
B,claude-haiku-4-5-20251001,gpt-5.6-terra,anthropic,openai,0,0.882353
B,claude-haiku-4-5-20251001,gpt-5.6-sol,anthropic,openai,0,0.911765
B,claude-haiku-4-5-20251001,deepseek-v4-flash,anthropic,deepseek,0,0.867647
B,claude-haiku-4-5-20251001,deepseek-v4-pro,anthropic,deepseek,0,0.911765
B,claude-haiku-4-5-20251001,glm-5.2,anthropic,zai,0,0.911765
B,claude-haiku-4-5-20251001,gemini-3.6-flash,anthropic,google,0,0.882353
B,claude-haiku-4-5-20251001,gemini-3.1-pro-preview,anthropic,google,0,0.911765
B,claude-sonnet-4-6,claude-opus-4-8,anthropic,anthropic,1,0.941176
B,claude-sonnet-4-6,gpt-5.6-terra,anthropic,openai,0,0.882353
B,claude-sonnet-4-6,gpt-5.6-sol,anthropic,openai,0,0.911765
B,claude-sonnet-4-6,deepseek-v4-flash,anthropic,deepseek,0,0.897059
B,claude-sonnet-4-6,deepseek-v4-pro,anthropic,deepseek,0,0.926471
B,claude-sonnet-4-6,glm-5.2,anthropic,zai,0,0.911765
B,claude-sonnet-4-6,gemini-3.6-flash,anthropic,google,0,0.911765
B,claude-sonnet-4-6,gemini-3.1-pro-preview,anthropic,google,0,0.941176
B,claude-opus-4-8,gpt-5.6-terra,anthropic,openai,0,0.882353
B,claude-opus-4-8,gpt-5.6-sol,anthropic,openai,0,0.926471
B,claude-opus-4-8,deepseek-v4-flash,anthropic,deepseek,0,0.882353
B,claude-opus-4-8,deepseek-v4-pro,anthropic,deepseek,0,0.897059
B,claude-opus-4-8,glm-5.2,anthropic,zai,0,0.926471
B,claude-opus-4-8,gemini-3.6-flash,anthropic,google,0,0.911765
B,claude-opus-4-8,gemini-3.1-pro-preview,anthropic,google,0,0.911765
B,gpt-5.6-terra,gpt-5.6-sol,openai,openai,1,0.882353
B,gpt-5.6-terra,deepseek-v4-flash,openai,deepseek,0,0.823529
B,gpt-5.6-terra,deepseek-v4-pro,openai,deepseek,0,0.882353
B,gpt-5.6-terra,glm-5.2,openai,zai,0,0.882353
B,gpt-5.6-terra,gemini-3.6-flash,openai,google,0,0.882353
B,gpt-5.6-terra,gemini-3.1-pro-preview,openai,google,0,0.882353
B,gpt-5.6-sol,deepseek-v4-flash,openai,deepseek,0,0.897059
B,gpt-5.6-sol,deepseek-v4-pro,openai,deepseek,0,0.911765
B,gpt-5.6-sol,glm-5.2,openai,zai,0,0.926471
B,gpt-5.6-sol,gemini-3.6-flash,openai,google,0,0.941176
B,gpt-5.6-sol,gemini-3.1-pro-preview,openai,google,0,0.911765
B,deepseek-v4-flash,deepseek-v4-pro,deepseek,deepseek,1,0.897059
B,deepseek-v4-flash,glm-5.2,deepseek,zai,0,0.897059
B,deepseek-v4-flash,gemini-3.6-flash,deepseek,google,0,0.882353
B,deepseek-v4-flash,gemini-3.1-pro-preview,deepseek,google,0,0.867647
B,deepseek-v4-pro,glm-5.2,deepseek,zai,0,0.926471
B,deepseek-v4-pro,gemini-3.6-flash,deepseek,google,0,0.926471
B,deepseek-v4-pro,gemini-3.1-pro-preview,deepseek,google,0,0.911765
B,glm-5.2,gemini-3.6-flash,zai,google,0,0.897059
B,glm-5.2,gemini-3.1-pro-preview,zai,google,0,0.926471
B,gemini-3.6-flash,gemini-3.1-pro-preview,google,google,1,0.897059
